9,10464
13,15606
17,11022
20,1656
22,3918
26,8472
30,13650
44,3456
51,13212
53,18624
66,3498
79,16242
85,10788
91,18720
94,19014
95,7680
98,7236
103,4002
104,876
125,564
127,11970
129,7272
132,4206
134,10716
135,1500
136,7104
142,7686
153,4326
157,12996
166,12108
169,17466
172,6198
179,13500
182,18618
186,744
190,13020
205,1542
209,3438
217,12018
222,3522
223,11730
226,240
227,9006
228,7200
237,13134
257,5796
268,3702
276,15804
282,9714
295,19002
296,7260
318,17100
319,10680
325,12570
343,1422
346,15318
347,1314
360,10656
364,12138
371,7572
377,13962
378,84
379,13698
380,11988
388,6462
401,13608
410,17892
418,3732
420,14022
422,4302
447,1758
452,2634
464,8736
466,4782
469,972
486,9942
511,6474
542,2964
543,4332
551,16746
553,17580
556,18636
570,7452
571,9660
576,1074
580,6624
582,19350
593,16806
594,2238
595,3138
597,10770
599,6996
600,16356
613,19878
620,17922
626,13008
632,10686
638,12204
640,2412
642,7314
645,8982
647,13410
657,4134
661,14208
683,18948
695,8994
709,1908
710,13566
713,10890
720,2676
721,8496
730,11904
742,6348
744,7932
747,5082
749,15588
766,5748
768,5280
770,732
772,13104
776,10296
780,954
786,19482
787,8910
793,16056
796,9648
821,3282
826,7896
831,15558
845,11742
849,11562
865,4080
901,702
905,5178
913,13146
921,13890
927,9822
931,18246
935,11478
936,14490
937,16950
954,16566
955,4128
961,7800
965,4536
985,11706
995,3516
997,14814
1006,15372
1007,16002
1018,9090
1021,12162
1022,6678
1024,17994
1030,18276
1033,318
1035,6918
1041,11958
1046,2784
1048,9240
1050,17478
1057,3306
1061,17112
1066,6954
1072,15654
1075,4356
1079,17322
1081,13614
1087,9096
1089,4410
1092,13878
1093,2736
1094,19266
1101,9960
1105,17628
1112,13812
1113,5118
1117,19626
1119,960
1128,4974
1129,12768
1132,2772
1134,15336
1136,14124
1139,3966
1143,1506
1148,1446
1149,3444
1152,6006
1158,2094
1184,6372
1198,18354
1210,15582
1213,3978
1214,9762
1216,246
1218,6432
1225,18402
1226,6000
1227,7842
1232,13242
1234,16644
1238,5880
1253,16110
1254,3150
1265,7782
1267,15516
1283,8274
1303,162
1311,8718
1327,13026
1331,15498
1334,2610
1337,16434
1353,5976
1360,7182
1372,6174
1373,13770
1384,10932
1386,7110
1389,18282
1393,15726
1404,15348
1405,7254
1410,9408
1415,7980
1416,9546
1421,5622
1425,9480
1428,11028
1429,16020
1454,4278
1456,15738
1458,17574
1461,2928
1463,3744
1480,3780
1487,8940
1494,16074
1503,7950
1506,10524
1507,14988
1513,1332
1526,6948
1537,390
1568,12054
1571,15624
1573,12690
1579,18774
1586,3060
1588,10494
1596,12486
1610,5484
1613,1896
1614,3822
1618,1266
1620,930
1626,18024
1628,408
1634,9564
1641,17802
1655,15924
1662,14646
1666,1464
1669,13494
1678,11712
1685,3120
1695,14580
1699,11544
1700,3366
1702,13278
1709,1068
1713,5634
1718,2028
1726,2046
1727,8190
1728,5334
1730,11868
1732,19728
1736,17934
1739,8826
1742,6978
1751,17760
1754,7830
1757,8004
1759,5274
1765,3504
1774,6786
1776,17172
1781,19194
1782,9696
1785,6768
1786,14178
1794,14532
1806,5124
1810,5832
1811,14400
1813,798
1817,17340
1826,18
1828,1830
1833,18954
1839,3288
1842,15750
1863,2730
1864,5184
1865,690
1867,16104
1879,15852
1910,13200
1911,17826
1922,6540
1932,3414
1933,1536
1946,6612
1950,13362
1954,12156
1974,1008
1975,13158
1977,8412
1979,5436
1980,7674
1983,13302
1988,2172
1990,19416
1993,2694
1996,6942
1997,7338
2001,7584
2015,14238
2016,19956
2017,17664
2029,354
2031,1152
2036,6492
2048,1764
2053,2724
2058,5190
2063,5958
2064,5886
2065,18762
2076,4140
2077,1398
2084,16164
2098,8136
2104,7626
2105,5550
2114,4578
2122,4026
2126,17532
2128,4020
2130,16884
2161,17832
2163,4632
2166,54
2170,14358
2174,924
2178,3618
2185,9732
2189,5058
2191,12264
2195,16524
2196,7440
2198,14220
2213,384
2214,8400
2227,15780
2229,978
2232,7062
2241,18696
2250,19566
2251,5970
2262,18288
2264,4452
